title,appeared,type,lastActivity,repos,country
SPSS,1968,pl,2022,0,United States
PowerPC,1992,isa,2018,0,World
Eclipse,2001,editor,2003,0,Canada
TLS,1999,protocol,2001,0,World
FTP,1971,protocol,2022,0,United States
Visual Studio,1997,editor,2017,0,World
SOAP,1998,xmlFormat,2022,0,World
Matplotlib,2003,library,2022,0,Various
Vue,2014,framework,2022,8639,World
Literate CoffeeScript,2013,pl,2022,0,United States
Rexx,1979,pl,2022,71,United Kingdom
X86,1978,isa,2001,0,World
TCP,1974,protocol,2009,0,World
Nim,2008,pl,2022,472,Various
ANTLR,1992,grammarLanguage,2022,2866,United States
SciPy,2001,library,2022,0,World
Scratch,2002,visual,2022,0,World
Pug,2010,template,2022,575,Various
LFE,2008,pl,2022,15,United States
Smali,2010,assembly,2022,212,World
LaTeX,1985,textMarkup,2022,0,United States
Markdown,2004,textMarkup,2022,8,United States
Visual Basic .NET,2001,pl,2022,322,World
Liquid,2008,template,2022,1018,Canada
Forth,1970,pl,2022,1910,United States
SMTP,1982,protocol,2001,0,World
PureBasic,1998,pl,2022,647,World
ML,1973,pl,2022,0,United Kingdom
Solaris,1992,os,1992,0,World
Haxe,2005,pl,2022,3304,Unknown
VBScript,1996,pl,2022,339,United States
WebAssembly,2015,bytecode,2022,160,World
CIL,2000,pl,2022,0,World
Chapel,2004,pl,2022,55,United States
Oberon,1986,pl,2022,0,Switzerland
PDF,1993,binaryDataFormat,2018,0,United States
LabVIEW G,1986,pl,2022,357,United States
Applescript,1993,pl,2022,4075,United States
Oz,1991,pl,2022,72,Germany
Lasso,1995,pl,2022,435,Canada
fish,2005,pl,2022,0,Various
LLVM IR,2003,ir,2018,1345,Various
ECMAScript,1997,pl,2022,0,Switzerland
Red,2011,pl,2022,98,China
Simula,1965,pl,2002,0,Norway
Protocol Buffers,2008,idl,2022,11692,World
Idris,2014,pl,2022,301,United Kingdom
Logo,1967,pl,2022,0,United States
SQLite,2000,queryLanguage,2022,0,World
UDP,1980,protocol,2022,0,World
AMPL,1985,pl,2022,852,United States
OpenGL,1992,library,2022,0,World
sed,1974,pl,2018,1075,United States
PicoLisp,1988,pl,2022,99,Germany
Visual Studio Code,2015,editor,2015,0,World
Drupal,2000,application,2022,0,Various
FreeBSD,1993,os,1993,0,United States
Tex,1978,pl,2022,31515,United States
V,2019,pl,2022,45,World
BCPL,1966,pl,2001,0,United Kingdom
PL/SQL,1991,pl,2017,6767,United States
JVM,1994,vm,2006,0,World
Standard ML,1990,pl,2017,2390,World
Dylan,1992,pl,2022,112,United Kingdom
REBOL,1997,pl,2022,1647,World
Apache Maven,2004,application,2014,0,United States
Unity,2005,library,2022,0,World
Processing,2001,pl,2022,6773,United States
Hack,2014,pl,2022,3242,World
MIPS architecture,1985,isa,2022,0,World
Algol,1958,pl,2001,0,World
OWL,2004,xmlFormat,2018,642,United States
URL,1994,schema,2001,0,World
Org,2003,textMarkup,2022,1,The Netherlands and France
PureScript,2013,pl,2022,826,World
Brainfuck,1993,esolang,2017,832,Switzerland
SVG,2001,textMarkup,2022,0,World
Monaco Editor,2016,editor,2022,0,United States
FAT,1977,filesystem,2001,0,United States
DOT,2007,textMarkup,2015,68,United States
FLUX,2014,pl,2022,853,United States
Fantom,2005,pl,2022,38,United States
Squirrel,2003,pl,2022,433,World
EuLisp,1985,pl,2006,0,United States
Monkey,2011,pl,2016,116,United States
FLEX,1987,grammarLanguage,2022,0,United States
AUTOCAD,1982,application,2001,0,United States
Limbo,1995,pl,2003,367,United States
Agda,2007,pl,2014,207,Sweden
BlitzBasic,2000,pl,2016,492,New Zealand
ABAP,1983,pl,2022,450,World
MUMPS,1966,pl,2022,4908,United States
Occam,1983,pl,2001,0,United Kingdom
GAME,1977,pl,2001,0,Canada
HAML,2006,template,2022,465,Canada
Emacs Lisp,1985,pl,2018,16754,United States
RDF,1997,dataNotation,2001,0,United States
ColdFusion,1995,pl,2022,2061,World
Jinja,2006,template,2022,981,Various
Coq,1989,pl,2022,1013,France
AutoIt,1999,pl,2022,650,Unknown
Qt,1995,framework,2022,0,Finland
x86 Assembly,1972,assembly,2017,0,World
Makefile,1976,pl,2002,250693,United States
Vala,2006,pl,2017,2046,World
J,1990,pl,2022,151,United States
Nearley,2014,grammarLanguage,2022,33,United States
NewLisp,1991,pl,2022,812,United States
Nemerle,2003,pl,2022,286,World
Zig,2015,pl,2022,21,World
MIME,1991,textDataFormat,2022,0,United States
XAML,2008,xmlFormat,2022,0,World
Jison,2009,pl,2022,0,Various
MoonScript,2011,pl,2022,359,United States
Icon,1977,pl,2001,0,United States
Terra,2012,pl,2022,206,World
TOML,2013,dataNotation,2022,0,World
Scikit-learn,2007,library,2022,0,World
X10,2004,pl,2022,19,United States
Ballerina,2015,pl,2022,22,United States
Scilab,1990,pl,2012,13048,World
Flow,2014,pl,2022,0,United States
Io,2002,pl,2022,624,United States and United Kingdom and Belarus
Turing,1982,pl,2017,167,Canada
idyll,2017,pl,2022,0,Various
RPG,1959,pl,2004,0,World
Mercury,1995,pl,2022,646,Australia
Reverse Polish notation,1953,notation,2002,0,Germany
QML,2009,pl,2014,5249,Finland
IDL,1977,pl,2017,5298,United States
Frege,2011,pl,2022,160,Switzerland and Germany and United States
xBase,1986,pl,2017,350,United States
GNU Octave,1988,pl,2022,0,United States
Boo,2003,pl,2022,241,Brasil
JSP,1999,template,2018,0,United States
PostCSS,2013,textMarkup,2022,0,Various
TensorFlow,2015,library,2022,0,World
Object Pascal,1986,pl,2004,0,United States
Slim,2011,template,2022,206,World
MicroPython,2014,pl,2022,0,Australia and The Netherlands
Hy,2013,pl,2022,180,Various
highlight.js,2006,library,2022,0,Various
ALGOL 60,1960,pl,2004,0,World
Arc,2001,pl,2003,467,United States
Zephir,2013,pl,2022,140,World
SPARQL,2008,queryLanguage,2015,0,World
Ceylon,2011,pl,2022,167,World
Redis,2009,application,2022,0,United States
LOLCODE,2007,esolang,2022,109,England
Opa,2011,pl,2022,58,France
SPARC,1987,isa,2002,0,World
SuperCollider,1996,pl,2022,3713,World
SystemVerilog,2002,pl,2005,1052,World
QBasic,1991,pl,2001,0,United States
Clean,1987,pl,2017,263,Netherlands
Lean,2015,pl,2022,265,United States
SNOBOL,1962,pl,2002,0,United States
Cython,2007,pl,2022,580,Various
RFC,1969,notation,2001,0,United States
Bison,1985,grammarLanguage,2011,3641,United States
XPath,1999,queryLanguage,2008,0,World
WebGL,2011,library,2013,0,World
Inform,1993,pl,2022,60,United Kingdom
CLIPS,1985,pl,2022,991,United States
Pony,2012,pl,2023,78,Various
reStructuredText,2002,textMarkup,2018,0,Canada
KiCad Legacy Layout,1992,application,2018,1099,France
vi,1976,editor,2001,0,World
RobotFramework,2013,pl,2022,515,Finland
PL/pgSQL,1998,pl,2016,9239,United States
Factor,2003,pl,2022,111,Unknown
CMake,2000,application,2022,56490,United States
NumPy,1995,library,2022,0,Various
Self,1987,pl,2022,26,United States
Stata,1985,pl,2022,1032,World
Multi-User Forth,1995,pl,2004,0,United States
Sublime Text,2008,editor,2022,0,World
Nextflow,2013,pl,2022,62,Sweden and Spain and Brazil and South Africa
JSON5,2012,dataNotation,2022,0,United States
SI,1960,notation,2001,0,World
Pike,1994,pl,2022,105,Sweden
grep,1974,pl,2002,0,United States
Deno,2018,compiler,2022,0,United States
Metal,2014,library,2018,256,United States
EDN,2012,dataNotation,2022,0,Unknown
PL/I,1964,pl,2022,0,World
Isabelle,1986,pl,2018,137,United Kingdom and Germany
WSDL,2000,xmlFormat,2002,0,World
Gzip,1992,binaryDataFormat,2016,0,World
NetLogo,1999,pl,2022,154,United States
D3.js,2011,library,2022,0,United States
Magit,2013,application,2022,0,Unknown
API Blueprint,2013,pl,2022,810,United States
MiniD,2006,pl,2007,0,United States
RAML,2013,yamlFormat,2022,472,United States
HCL,2014,dataNotation,2022,2995,World
Perl 6,2015,pl,2018,2002,Various
Extensible Linking Format,1999,binaryExecutable,2001,0,United States
Ace Editor,2010,editor,2022,0,World
Click,1999,pl,2022,127,United States
New Technology File System,1993,filesystem,2002,0,United States
ATS,2013,pl,2022,46,United States
AutoLISP,1986,pl,2001,0,United States
S-algol,1979,pl,2006,0,World
YANG,2014,application,2022,0,World
IA-32,1985,isa,2001,0,United States
Csound,1985,pl,2022,65,United States
OpenRC runscript,2007,application,2023,0,England
F*,2014,pl,2022,31,Unknown
Ini,1987,dataNotation,2013,1,United States
Sass,2006,stylesheetLanguage,2022,466,World
Turtle,2011,dataNotation,2015,0,World
Lex,1975,grammarLanguage,2002,12486,United States
Subversion,2000,application,2002,0,World
Gnuplot,1986,pl,2022,3204,Various
Xojo,1996,pl,2022,68,World
npm,2010,packageManager,2022,0,United States
AGC,1966,assembly,2017,0,United States
FoxPRO,1992,pl,2006,0,United States
FlatBuffers,2014,idl,2022,0,World
ClojureScript,2011,pl,2022,0,Various
Ioke,2008,pl,2022,41,Ecuador
Java Bytecode,1995,bytecode,2005,0,United States
S-expressions,1960,dataNotation,2002,0,World
INTERCAL,1972,pl,2001,0,United States
E,1997,pl,2022,304,United States
CodeMirror,2007,editor,2022,0,Germany
Wren,2013,pl,2022,3,United States
Alloy,1997,pl,2022,90,World
odin,2016,pl,2022,6,The Netherlands and Denmark and Sweden and United States and Germany
AXIOM,1992,pl,2001,0,United States
LiveScript,2011,pl,2017,2273,United States
RDoc,2004,textMarkup,2017,0,Japan
CSP,1978,pl,2003,0,United Kingdom
Modelica,1997,pl,2022,542,Sweden
Gradle,2008,application,2022,0,Various
Embedded Crystal,2016,template,2022,0,Argentina
Office Open XML,2006,xmlFormat,2006,0,United States
Wavefront Object,1988,application,2017,0,World
POV-Ray SDL,1991,pl,2022,493,United States
Microsoft BASIC,1975,pl,2002,0,World
Clipper,1985,pl,2003,0,United States
YARA,2008,pl,2022,46,World
ERB,2004,template,2018,0,Various
Batchfile,1985,pl,2022,97775,United States
Django,2005,library,2014,0,United States
MariaDB,2009,queryLanguage,2009,0,Finland and United States
Whitespace,2003,esolang,2003,0,World
GAMS,1963,pl,2005,49,United States
DNS,1985,protocol,1985,0,United States
SYMBOL,1971,pl,2002,0,World
B,1969,pl,2001,0,United States
AsciiDoc,2002,textMarkup,2022,0,World
Pod,1997,textMarkup,2004,0,United States
BPMN,2004,visual,2005,0,United States
M4,1977,pl,2004,15666,United States
Datalog,1977,pl,2004,0,Italy
Objective-J,2008,pl,2014,340,United States and United Kingdom and Sweden
Marko,2014,textMarkup,2022,12,United States
Dafny,2009,pl,2022,1,World
chevrotain,2015,library,2022,0,Germany
C--,1997,pl,2005,0,United States
Ninja,2012,template,2022,0,United States
Dhall,2017,dataNotation,2022,60,Various
Base64,1987,textEncodingFormat,1987,0,United States
Wolfram Language,1988,pl,2022,0,World
Oxygene,2002,pl,2022,35,United States
Gambas,1999,pl,2003,0,France
JSON-LD,2010,dataValidationLanguage,2022,0,Various
Q,2003,pl,2022,170,World
Microsoft Notepad,1983,editor,2002,0,United States
PEG.js,2010,grammarLanguage,2022,63,Germany and United Kingdom
Google Cloud Platform,2011,cloud,2014,0,United States
HyperTalk,1987,pl,2002,0,United States
SPARK,1988,pl,2017,0,United Kingdom
halide,2010,pl,2022,0,United States
TLA,1999,pl,2017,89,World
Befunge,1993,esolang,2022,7,United States
GDB,1986,application,2018,2603,World
Puppet,2005,pl,2018,14936,United States
Miranda,1985,pl,2002,0,United Kingdom
Speedie,2022,pl,2023,0,United Kingdom
Bicep,2020,jsonFormat,2022,17,World
Bourne shell,1977,pl,2022,0,United States
C3,2019,pl,2023,0,Sweden
Visual FoxPro,1995,pl,2003,0,World
Seed7,2005,pl,2012,0,World
x86-64,2000,isa,2018,0,World
PowerBuilder,2010,pl,2010,17,Germany
BibTeX,1985,application,2003,0,United States
Twig,2009,template,2022,811,World
Less,2009,stylesheetLanguage,2022,2585,Various
XS,2002,pl,2018,1945,World
eC,2004,pl,2022,920,Canada
SGML,1986,textMarkup,2001,0,United States
Coconut,2014,pl,2022,0,Various
Simulink,1984,pl,2017,0,World
Oberon-2,1991,pl,2004,0,Switzerland
G-code,1950,pl,2015,107,United States
Genie,2008,pl,2009,17,United States
QuickBASIC,1985,pl,2002,0,United States
Maxima,1982,pl,2022,0,United States
Thrift,2007,idl,2017,3526,World
NATO phonetic alphabet,1956,notation,2001,0,Canada
AutoHotkey,2003,pl,2022,1470,United States
Classroom Object Oriented Language,1996,pl,2014,57,United States
Turbo Pascal,1983,compiler,2002,0,United States
PL/0,1976,pl,2004,0,Switzerland
GW-BASIC,1983,pl,2002,0,United States
Homebrew,2009,packageManager,2022,0,United States
SETL,1969,pl,2004,0,United States
LINQ,2007,queryLanguage,2007,0,World
JSON Schema,2010,dataValidationLanguage,2022,0,Various
Z notation,1974,notation,2001,0,World
ECL,2000,pl,2023,25,United States
Falcon,2003,pl,2022,0,Italy
SaltStack,2011,pl,2022,1680,World
ALGOL 68,1968,pl,2004,0,World
XBase++,1997,pl,2005,0,World
Netwide Assembler,1996,assembly,2022,0,United States and Russia
Transact-SQL,1984,queryLanguage,2003,0,World
v8,2008,vm,2022,0,World
CLU,1975,pl,2001,0,United States
Dc,1978,pl,2004,0,United States
LiveCode,2001,pl,2022,0,Scotland
COMTRAN,1957,pl,2006,0,United States
Pandas,2008,library,2017,0,Various
ASN.1,1984,idl,2016,0,United Kingdom
HHVM,2011,vm,2022,0,United States
wisp,2012,pl,2022,23,Unknown
ink,2015,esolang,2022,0,United Kingdom
ABC,1980,pl,2002,0,Netherlands
Ext4,2008,filesystem,2008,0,United States
DIAGRAM,1980,pl,2004,0,United States
Mercurial,2005,application,2005,0,United States
K,1993,pl,2022,0,United States
YASnippet,2008,textMarkup,2022,264,World
Scala.js,2013,pl,2022,0,World
RStudio,2011,editor,2022,0,World
Cap'n Proto,2013,idl,2022,690,United States and Portugal
Squeak,1996,pl,2022,0,World
React Native,2015,library,2022,0,United States
PRQL,2022,queryLanguage,2022,0,South Africa and United States
HyperCard,1987,pl,2001,0,United States
Jython,2001,pl,2003,0,United States and United Kingdom
Natural Language Toolkit,2001,library,2022,0,Various
Bluespec,2000,pl,2015,51,United States
Croc,2006,pl,2017,0,United States
KaTeX,2013,textMarkup,2022,0,United States
EJS,2010,template,2022,614,United Kingdom
DBase,1979,application,2022,0,United States
S,1976,pl,2004,0,World
True BASIC,1983,pl,2001,0,World
WxBasic,2002,pl,2004,0,World
Markwhen,2022,textMarkup,2023,0,World
Stylus,2010,stylesheetLanguage,2022,344,World
Ion,2016,idl,2016,0,United States
UrWeb,2008,pl,2022,64,World
GAP,1986,pl,2022,4082,Germany
Sather,1990,pl,2001,0,United States
Vim script,1991,pl,2018,10963,World
FreeBASIC,2004,pl,2016,41,Various
MMX instruction set,1997,isa,2002,0,United States
JScript,1996,pl,2003,0,World
Pygments,2006,library,2022,0,Germany
Parrot,2002,vm,2016,121,United States
Wolfram Mathematica,1988,editor,2002,0,United States
unison,2015,pl,2022,0,World
CouchDB,2005,application,2022,0,World
Pig Latin,2008,queryLanguage,2016,606,World
TXL,1985,pl,2015,22,World
RMarkdown,2014,textMarkup,2022,0,United States
Graph Modeling Language,1997,application,2010,0,Germany
chrysaLisp,2015,pl,2022,0,United Kingdom
CIL,1994,pl,2004,0,United States
EML,1974,textDataFormat,2018,0,United States
starlark,2018,pl,2022,1141,World
FASTQ,2000,textDataFormat,2009,0,United Kingdom
Numba,2012,compiler,2022,0,United States and United Kingdom and Germany
Punched tape,1943,notation,2002,0,France
Latte,2008,template,2022,26,Czech Republic
Smarty,2006,template,2022,17325,World
Nu,2007,pl,2017,375,United States and Germany
Multics,1967,pl,2001,0,Canada
DTD,1996,grammarLanguage,2009,0,Switzerland
Malbolge,1998,pl,2003,0,United States
Tiny BASIC,1975,pl,2002,0,World
Xtend,2011,pl,2014,834,World
ALGOL W,1966,pl,2003,0,World
IBM System z,2000,computingMachine,2018,0,World
tornado,2009,template,2022,0,World
JFlex,2003,grammarLanguage,2022,39,Switzerland and Australia
DTrace,2005,pl,2022,2080,United States
Ragel,2007,pl,2022,317,The Netherlands
AspectJ,2001,pl,2017,793,Canada
Caml,1985,pl,2005,0,France
Fortress,2004,pl,2006,0,United States
PARI/GP,1985,pl,2022,0,France
jq,2012,queryLanguage,2022,39,Unknown
Pure Data,1996,pl,2022,914,United States
TRS-80 Color Computer,1980,computingMachine,2002,0,World
Max,1990,jsonFormat,2016,1031,United States
muPad,1997,pl,2018,71,Germany
HLSL,2002,pl,2017,1654,United States
Unicon,2008,pl,2022,0,World
RDFa,2004,xmlFormat,2022,0,United States
Ring,2016,pl,2017,3,Saudi Arabia
HOPE,1978,pl,2004,0,United Kingdom
Free Pascal,1997,pl,2004,0,Various
XSLT,1998,xmlFormat,2018,32204,World
RPL,1984,pl,2022,0,World
Diff,1974,unixApplication,2018,561,United States
NL,1993,application,2010,0,United States
mlir,2019,ir,2022,30,Various
Gosu,2002,pl,2017,539,United States
OpenVera,2001,pl,2008,0,United States
SIL,2012,ir,2012,0,World
mermaid,2014,textMarkup,2022,0,Various
High Level Assembly,2011,assembly,2011,0,United States
commonmark,2014,textMarkup,2022,0,United States
Atmel AVR,1996,pl,2018,0,Norway
Eve,2016,pl,2022,0,United States
Cue,2018,dataNotation,2022,0,United Kingdom and United States and Switzerland
Fennel,2016,pl,2022,12,Various
JCL,1964,pl,2003,0,United States
RATFOR,1976,pl,2003,0,United States
GLSL,1992,pl,2017,13882,United States
Curry,1990,pl,2003,1,Germany
MusicXML,2004,pl,2004,0,United States
Slash,2012,pl,2022,427,World
Enso,2015,pl,2022,0,Poland
Luna,2015,pl,2022,0,United States and Poland
Golo,2012,pl,2022,29,Unknown
NSIS,2001,pl,2016,8095,United States
Gerber Image,1980,application,2018,0,Belgium
Expect,1990,pl,2004,0,Various
BETA,1983,pl,2007,0,Norway
Action!,1983,pl,2004,0,World
TreeSheets,2019,visual,2022,0,World
janet,2018,pl,2023,0,Czech Republic and New Zealand and United States
AutoCAD DXF,1982,application,2001,0,United States
Ladder Logic,1994,pl,2002,0,Switzerland
beef-lang,2019,pl,2022,3,Unknown
Hierarchical Data Format,1992,binaryDataFormat,2017,0,United States
Inno Setup,1997,pl,2006,3719,United States
Dogescript,2013,pl,2022,26,Various
PL/M,1973,pl,2004,0,United States
Cg,2003,pl,2012,0,United States
LilyPond,1996,pl,2022,298,Various
MPS,2010,grammarLanguage,2022,0,Czech Republic
PEG,2002,grammarLanguage,2004,0,World
FASTA,2004,textDataFormat,2011,0,United States
datascript,2014,queryLanguage,2022,0,Germany
Shakespeare,1993,esolang,2007,0,World
QB64,2007,pl,2008,0,United States
SWI Prolog,1987,pl,2023,0,World
WDL,2012,pl,2022,30,World
Korn shell,1983,pl,2022,0,United States
Imba,2014,pl,2022,0,Norway and United States
Koka,2012,pl,2022,0,United States
Closure Templates,2009,template,2022,25,United States
Altair BASIC,1975,pl,2001,0,World
Eagle,1988,application,2018,2082,United States
IGOR Pro,1993,pl,2018,80,United States
PhyloXML,2009,xmlFormat,2009,0,United States
CWL,2014,pl,2022,75,Various
RISC-V,2010,isa,2014,0,United States
UNLAMBDA,1999,pl,2002,0,United States
gravity,2017,pl,2022,0,Various
Augmented Backus-Naur Form,2008,grammarLanguage,2016,0,World
Java EE version history,1998,pl,2007,0,United States
Ron,2015,dataNotation,2022,0,Finland
Zip file format,1989,binaryDataFormat,1989,0,World
EBNF,1977,grammarLanguage,2016,0,World
SourcePawn,2014,pl,2022,9023,World
Textile,2002,textMarkup,2022,0,World
Java Properties,1995,dataNotation,2018,0,United States
OpenLisp,1988,pl,2012,0,Brazil
Blitz3D,2001,pl,2008,0,New Zealand
Ren'Py,2004,pl,2018,49,England
Commodore BASIC,1977,pl,2003,0,World
Taichi,2019,pl,2022,0,World
PIR,2006,pl,2016,0,United States
LPC,1995,pl,2017,0,Sweden
Xtext,2006,grammarLanguage,2022,0,World
Reia,2008,pl,2022,0,United States
carp,2016,pl,2022,0,Various
GAMS,1988,pl,2022,0,United States
CWEB,1987,textMarkup,2002,53,Netherlands
.dwg,1982,binaryDataFormat,2004,0,United States
Euphoria,1993,pl,2022,47,Canada
dynamo-visual-language,2011,visual,2022,0,United States
Hjson,2014,dataNotation,2022,0,Austria
BBCode,1998,textMarkup,2004,0,Unknown
ExFAT,2006,filesystem,2006,0,United States
Microsoft Small Basic,2008,pl,2022,0,World
Guile,1993,pl,2005,0,United States
GeoJSON,2008,jsonFormat,2022,0,United States and United Kingdom
Argdown,2014,textMarkup,2022,0,Germany
Velocity,2003,template,2005,0,World
Qualcomm Hexagon,2006,assembly,2018,0,World
RoboMind,2005,pl,2022,0,The Netherlands
RUNOFF,1965,textMarkup,2018,7,United States
Jule,2021,pl,2022,0,World
Aith,2020,pl,2022,0,Unknown
MDX,2017,textMarkup,2022,0,Various
IMAP,1986,protocol,1986,0,United States
Dockerfile,2013,pl,2017,26335,United States
CFML,1995,pl,2004,0,United States
KiXtart,1991,pl,2022,0,Various
Pizza,2001,pl,2004,0,United Kingdom
NewtonScript,1993,pl,2002,0,United States
DDML,1999,xmlFormat,1999,0,Various
AssemblyScript,2017,pl,2022,0,Ukraine and Germany
Information Presentation Facility,1997,pl,2006,0,United States
Manim,2015,framework,2023,0,United States
Velato,2009,esolang,2009,0,World
Emojicode,2016,pl,2022,0,Unknown
Rust MIR,2016,ir,2022,0,World
Plain English,2018,pl,2018,0,Unknown
PIC microcontroller,1975,pl,2018,0,United States
LotusScript,1996,pl,2003,0,United States
DRAKON,1996,pl,2022,0,Russia
Microsoft Macro Assembler,1981,assembly,2004,0,World
PyTorch,2016,library,2022,0,Various
Keras,2015,library,2022,0,United States
SubRip Text,2005,application,2016,0,World
beads-lang,2016,pl,2016,0,United States
Jekyll,2008,application,2022,0,Various
Yes It Is,2006,framework,2022,0,World
LyX,1995,editor,2022,0,Various
JADE,1996,pl,2005,0,New Zealand
Pharo,2008,pl,2022,0,France
flowchart.fun,2021,textMarkup,2022,0,Cananda
Svelte,2019,pl,2022,0,World
PROMETHEUS,2012,pl,2023,0,Germany
Glyph Bitmap Distribution Format,1988,application,2018,0,United States
Mirah,2009,pl,2022,43,United States
Ghostscript,1988,pl,2002,0,United States
Sqlalchemy,2006,queryLanguage,2022,0,United States
CPL,1963,pl,2001,0,United Kingdom
Modula,1975,pl,2002,0,Switzerland
FFmpeg,2000,application,2023,0,World
Asm.js,2013,ir,2022,0,World
Microdata HTML,2013,schema,2013,0,United States
BlitzPlus,2003,pl,2010,0,New Zealand
Bel,2019,pl,2019,0,United States
ACT-III,1956,pl,2005,0,United States
Papyrus,2015,pl,2017,79,United States
Clarion,1986,pl,2022,278,United States
gogs-editor,2014,editor,2022,0,China
VRML,1994,pl,2002,0,World
tldr,2013,application,2022,0,World
progsbase,2018,pl,2022,0,Norway
CSV,1972,dataNotation,2004,0,World
X PixMap,1989,application,2018,0,World
Spin,2006,pl,2018,129,World
XeTeX,2004,textMarkup,2004,0,World
SQLPL,2009,pl,2016,5147,World
ThinBasic,2004,pl,2015,0,World
Readable,2018,textMarkup,2021,0,France
KML,2007,xmlFormat,2007,0,United States
ARexx,1987,pl,2005,0,United States
CLOS,1988,pl,2007,0,World
X BitMap,1989,application,2018,0,World
PAWN,2006,pl,2022,502,The Netherlands
Alice,2000,pl,2006,0,World
